Entity,Code,Year,Energy use per person (kWh),Expected Years of Schooling,Female labor force participation rates,Fertility rate: children per woman,Human Development Index,Meat production per thousand person (tonnes)
Afghanistan,AFG,2019,945.6453857,10.263844,21.56599998,4.8701,0.488,7.102901241
Albania,ALB,2019,11266.25781,14.81892,52.72299957,1.4142,0.81,29.61289656
Algeria,DZA,2019,16140.19629,14.626896,16.60000038,2.9881,0.748,18.71846474
Angola,AGO,2019,3429.592773,12.1721,75.01100159,5.4423,0.595,10.19852757
Argentina,ARG,2019,20785.91406,17.87487,50.16799927,1.9938,0.852,137.4988502
Armenia,ARM,2019,15538.20117,13.10609,44.75699997,1.575,0.778,38.05390618
Australia,AUS,2019,66614.88281,21.57801,60.92900085,1.67,0.941,190.0354172
Austria,AUT,2019,47818.35938,16.00796,55.97800064,1.4646,0.919,98.16283648
Azerbaijan,AZE,2019,17979.77148,13.47167,63.36899948,1.8345,0.761,32.80825185
Bahamas,BHS,2019,41170.375,12.89945,70.06199646,1.3979,0.816,17.10734793
Bahrain,BHR,2019,145193.2813,16.29756,44.38999939,1.8574,0.882,26.47044061
Bangladesh,BGD,2019,2775.810303,12.238835,36.31100082,2.031,0.644,4.272970848
Barbados,BRB,2019,24536.79297,15.713385,59.02700043,1.6233,0.799,69.78761068
Belarus,BLR,2019,32671.71484,15.23907,58.27500153,1.4636,0.817,119.1656456
Belgium,BEL,2019,64934.01953,19.60422,49.83000183,1.5871,0.936,152.5085337
Belize,BLZ,2019,9246.844727,13.14089,49.10699844,2.1058,0.705,62.9679031
Benin,BEN,2019,2482.886475,11.228647,69.96199799,5.1299,0.53,6.706918538
Bhutan,BTN,2019,29338.07617,13.225005,53.91699982,1.4601,0.671,8.905920385
Bolivia,BOL,2019,7940.383301,14.946971,60.75099945,2.6882,0.717,79.0970406
Bosnia and Herzegovina,BIH,2019,21068.46484,13.8,32.87200165,1.3685,0.783,26.2405236
Botswana,BWA,2019,9992.323242,12.265138,56.4659996,2.8834,0.717,28.56977123
Brazil,BRA,2019,16525.10938,15.59906,53.43600082,1.7026,0.766,134.9447132
Brunei,BRN,2019,121637.2578,14.06389,55.18399811,1.8195,0.83,60.48514124
Bulgaria,BGR,2019,30017.48633,13.89729,50.26900101,1.5751,0.81,31.4828595
Burkina Faso,BFA,2019,946.6964722,9.26204,57.82500076,4.971,0.452,12.39807599
Burundi,BDI,2019,318.7487488,10.722722,79.90200043,5.2713,0.431,3.590280558
Cambodia,KHM,2019,3994.236816,11.46772,76.11599731,2.4019,0.598,11.26683501
Cameroon,CMR,2019,1814.028931,13.1086,70.77200317,4.6226,0.583,11.91466625
Canada,CAN,2019,108631.0625,16.39626,61.44400024,1.4517,0.937,136.3084696
Cape Verde,CPV,2019,7776.237793,12.554614,49.79700089,1.9322,0.676,8.33048834
Central African Republic,CAF,2019,328.4351196,8.040172,63.94800186,6.0081,0.411,35.29744426
Chad,TCD,2019,461.7154236,8.035914,48.54899979,6.4118,0.403,48.30057516
Chile,CHL,2019,25430.22656,16.7313,49.48699951,1.5452,0.861,80.54908421
China,CHN,2019,27883.20898,14.2361145,63.01399994,1.4961,0.762,53.44348375
Colombia,COL,2019,10647.37402,14.51506,56.00099945,1.765,0.768,57.80065851
Comoros,COM,2019,1567.063477,11.924324,33.05400085,4.1248,0.56,2.872338946
Congo,COG,2019,4734.881836,12.330815,66.94100189,4.2964,0.57,10.54402865
Costa Rica,CRI,2019,13158.58984,16.54577,50.44800186,1.6319,0.819,58.72916006
Cote d'Ivoire,CIV,2019,2410.60791,10.48436,46.33200073,4.5381,0.55,12.1045403
Croatia,HRV,2019,23197.64648,15.1121,45.1969986,1.468,0.861,58.08125385
Cuba,CUB,2019,9608.341797,14.41144,42.17599869,1.5506,0.788,32.11722782
Cyprus,CYP,2019,27110.13281,15.64827,57.29999924,1.3322,0.897,66.5342925
Czechia,CZE,2019,44705.38672,16.21968,52.59799957,1.7096,0.897,44.37377834
Democratic Republic of Congo,COD,2019,402.0620117,9.817864,62.56299973,6.2525,0.482,2.694098126
Denmark,DNK,2019,33887.26563,18.7148,57.98799896,1.7004,0.946,308.1886285
Djibouti,DJI,2019,2598.322998,7.43298,17.84799957,2.8915,0.512,10.47021459
Dominican Republic,DOM,2019,11434.63477,14.466558,52.50999832,2.3441,0.771,46.01693126
Ecuador,ECU,2019,12162.4834,14.62423,54.39300156,2.0876,0.76,46.53442146
Egypt,EGY,2019,10436.38965,13.7865,15.89999962,3.0009,0.735,23.09743111
El Salvador,SLV,2019,7069.96582,12.671348,45.35200119,1.8383,0.683,27.46622651
Equatorial Guinea,GNQ,2019,16879.89844,9.73494,51.25099945,4.4286,0.605,0.405656787
Estonia,EST,2019,47190.81641,15.92896,57.61999893,1.6727,0.896,56.77150408
Eswatini,SWZ,2019,5678.396484,13.744346,47.29100037,2.9212,0.615,22.4183923
Ethiopia,ETH,2019,943.6289673,9.651072,74.81700134,4.3226,0.498,7.583679552
Fiji,FJI,2019,9642.426758,14.685485,38.31499863,2.5195,0.746,45.57025146
Finland,FIN,2019,59174.64844,19.05193,55.78900146,1.3566,0.939,72.00166475
France,FRA,2019,41949.10156,15.81207,51.2519989,1.83,0.905,84.24074872
Gabon,GAB,2019,7848.57666,12.97731,39.60200119,3.6155,0.709,17.63608509
Gambia,GMB,2019,1039.447998,9.263544,50.41400146,4.8693,0.503,3.624323503
Georgia,GEO,2019,18547.29688,15.61537,54.50999832,2.0108,0.81,18.42519944
Germany,DEU,2019,44244.88281,17.01014,56.5929985,1.5403,0.948,95.24224618
Ghana,GHA,2019,3294.342529,11.86731,65.27899933,3.6827,0.631,9.288759251
Greece,GRC,2019,29698.73828,20.02879,44.35699844,1.3174,0.889,41.98069874
Guatemala,GTM,2019,5688.776855,10.56245,39.52199936,2.6101,0.642,30.65366766
Guinea,GIN,2019,1211.761719,9.805298,64.01399994,4.5763,0.467,11.45941184
Guinea-Bissau,GNB,2019,721.2616577,10.613063,64.57099915,4.172,0.49,13.54506054
Guyana,GUY,2019,14245.79785,12.502722,42.50600052,2.4397,0.708,54.26153756
Haiti,HTI,2019,1163.586426,9.7,62.31900024,2.9192,0.543,9.467009413
Honduras,HND,2019,5802.885254,10.132814,44.67399979,2.4268,0.632,28.97227305
Hong Kong,HKG,2019,46358.28125,17.22212,54.93899918,1.0342,0.952,21.12265797
Hungary,HUN,2019,28394.32617,15.033628,48.78699875,1.5486,0.853,105.6315219
Iceland,ISL,2019,186788.25,19.16306,70.21299744,1.7464,0.96,97.50628487
India,IND,2019,6941.969727,11.46362,21.17900085,2.109,0.645,5.88498735
Indonesia,IDN,2019,8977.151367,13.748894,53.92499924,2.2148,0.716,18.12738628
Iran,IRN,2019,39347.41797,14.68141,16.9279995,1.7698,0.783,32.75501579
